               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.02087,            0.011516,            0.027701,             0.68567,                0.35,             0.48391,             0.31697,           0.0091982,           0.0030526,             0.01796,            0.006436,            0.006436,            0.006436
                  38,            0.022336,            0.011267,            0.026541,             0.69773,                0.35,             0.48092,              0.2623,            0.019462,           0.0026741,            0.017502,            0.006337,            0.006337,            0.006337
                  39,            0.028978,            0.011773,            0.029627,             0.48195,                 0.4,             0.57005,              0.4502,           0.0071591,            0.003567,            0.016357,            0.006238,            0.006238,            0.006238
                  40,            0.021461,            0.010833,            0.025419,             0.29718,                0.55,             0.51383,              0.4927,            0.015998,           0.0041329,            0.016769,            0.006139,            0.006139,            0.006139
                  41,            0.021014,            0.010897,            0.026349,             0.24194,             0.67179,             0.53666,             0.22881,            0.016057,           0.0039663,             0.01619,             0.00604,             0.00604,             0.00604
                  42,            0.018807,            0.011526,            0.027577,             0.46948,             0.63147,             0.50861,             0.35473,             0.01032,           0.0032828,            0.015671,            0.005941,            0.005941,            0.005941
                  43,            0.015682,            0.010152,            0.024812,             0.36739,             0.56546,             0.64308,             0.54625,            0.011379,           0.0033875,            0.013962,            0.005842,            0.005842,            0.005842
                  44,            0.019303,           0.0092201,            0.026416,             0.42567,                0.65,             0.61653,             0.55911,            0.013095,           0.0030549,            0.012817,            0.005743,            0.005743,            0.005743
                  45,            0.017332,             0.01047,            0.023668,             0.39927,             0.64704,             0.61353,             0.60086,            0.011323,           0.0026265,            0.012215,            0.005644,            0.005644,            0.005644
                  46,            0.022773,            0.010711,            0.024916,             0.50846,             0.52216,             0.67428,             0.47082,           0.0089034,           0.0028036,            0.011978,            0.005545,            0.005545,            0.005545
                  47,            0.022128,            0.010258,            0.026373,             0.33009,                 0.6,             0.57981,             0.57012,           0.0085798,           0.0021996,            0.012192,            0.005446,            0.005446,            0.005446
                  48,            0.020377,           0.0097647,            0.026938,              0.7455,             0.45664,             0.53819,             0.23951,            0.014622,           0.0022094,            0.012489,            0.005347,            0.005347,            0.005347
                  49,            0.017306,            0.011514,            0.024744,             0.32817,                0.55,             0.54918,             0.45024,           0.0042185,           0.0023985,             0.01281,            0.005248,            0.005248,            0.005248
                  50,            0.023552,           0.0097519,            0.024605,              0.2418,                 0.7,             0.51856,             0.39195,            0.011625,            0.002591,            0.012901,            0.005149,            0.005149,            0.005149
                  51,            0.016554,           0.0093815,            0.026494,             0.26687,             0.69385,             0.50922,             0.29268,            0.010325,           0.0032305,             0.01326,             0.00505,             0.00505,             0.00505
                  52,            0.018619,           0.0093023,            0.024488,             0.36697,             0.91803,             0.50582,             0.37719,            0.010563,           0.0036879,             0.01368,            0.004951,            0.004951,            0.004951
                  53,            0.017194,           0.0096358,            0.026076,              0.3533,             0.83218,             0.54017,             0.44626,           0.0070623,           0.0038318,            0.013252,            0.004852,            0.004852,            0.004852
                  54,            0.015499,            0.010288,            0.026841,             0.37313,             0.69328,             0.58471,             0.56021,           0.0058259,           0.0035206,            0.012863,            0.004753,            0.004753,            0.004753
                  55,            0.015107,           0.0099241,            0.025039,             0.33863,             0.85897,              0.5868,              0.5868,            0.014982,            0.002741,            0.012474,            0.004654,            0.004654,            0.004654
                  56,            0.019362,           0.0094205,            0.027076,             0.36337,                 0.9,             0.61477,             0.52734,           0.0051367,           0.0023179,            0.012291,            0.004555,            0.004555,            0.004555
                  57,            0.016513,           0.0097079,            0.024821,             0.37797,                 0.9,             0.62172,             0.58394,            0.011056,           0.0020388,            0.012314,            0.004456,            0.004456,            0.004456
                  58,            0.015009,           0.0088904,             0.02576,             0.38581,                 0.9,             0.63569,             0.55086,           0.0069372,           0.0019521,            0.012276,            0.004357,            0.004357,            0.004357
                  59,            0.014244,            0.009808,            0.025567,             0.37296,             0.93726,             0.55183,             0.55183,            0.013304,           0.0016115,             0.01252,            0.004258,            0.004258,            0.004258
                  60,            0.016801,           0.0075993,            0.026035,             0.40528,                0.75,              0.6752,             0.62678,           0.0060361,           0.0018787,            0.012177,            0.004159,            0.004159,            0.004159
                  61,            0.013582,           0.0076439,            0.025864,              0.4081,             0.73507,             0.63973,             0.53643,           0.0089133,           0.0018982,            0.012146,             0.00406,             0.00406,             0.00406
                  62,            0.015468,           0.0086336,            0.025668,              0.5422,             0.63539,             0.66714,             0.63174,           0.0063368,           0.0018044,            0.012192,            0.003961,            0.003961,            0.003961
                  63,            0.014474,           0.0078778,            0.024569,             0.44147,                 0.7,             0.68927,             0.52579,           0.0063496,           0.0018801,            0.011864,            0.003862,            0.003862,            0.003862
                  64,            0.015708,           0.0093975,            0.025619,              0.3894,             0.70425,             0.65958,             0.61823,           0.0037587,           0.0018277,            0.011749,            0.003763,            0.003763,            0.003763
                  65,            0.013652,           0.0080496,            0.025425,             0.39511,                 0.7,             0.65435,             0.42796,            0.007744,           0.0018535,            0.011887,            0.003664,            0.003664,            0.003664
                  66,            0.014192,           0.0084911,            0.024362,             0.38991,                 0.7,             0.65284,             0.58686,           0.0027229,           0.0018134,            0.011864,            0.003565,            0.003565,            0.003565
                  67,            0.016829,           0.0076409,            0.036692,               0.397,             0.83028,             0.63258,             0.50285,           0.0028941,           0.0019617,            0.012047,            0.003466,            0.003466,            0.003466
                  68,            0.014664,           0.0083312,            0.025601,             0.38762,             0.88208,             0.61227,             0.60161,             0.01327,           0.0020897,            0.012177,            0.003367,            0.003367,            0.003367
                  69,            0.014026,           0.0084181,            0.024622,             0.38006,             0.93549,             0.58052,             0.52262,           0.0087853,           0.0020442,            0.012314,            0.003268,            0.003268,            0.003268
                  70,            0.011641,           0.0077677,            0.024539,              0.3705,             0.92824,             0.57568,             0.56169,           0.0076692,           0.0019902,            0.012276,            0.003169,            0.003169,            0.003169
                  71,            0.011626,           0.0078128,            0.023848,             0.32474,                0.95,             0.53543,             0.52948,           0.0061291,           0.0018722,            0.012047,             0.00307,             0.00307,             0.00307
                  72,            0.013761,            0.007123,            0.023843,             0.34418,                0.95,             0.53594,             0.33391,           0.0092157,           0.0017476,            0.012024,            0.002971,            0.002971,            0.002971
                  73,            0.011249,           0.0072979,            0.024854,             0.34217,                0.95,             0.56292,             0.42676,           0.0062655,           0.0015896,            0.012016,            0.002872,            0.002872,            0.002872
                  74,            0.010481,           0.0075607,            0.023628,             0.38564,             0.91606,             0.50678,             0.42101,           0.0044518,           0.0017797,            0.011932,            0.002773,            0.002773,            0.002773
                  75,            0.010532,           0.0071091,            0.025661,             0.37356,                0.85,             0.58175,             0.55588,            0.004696,           0.0018082,            0.012604,            0.002674,            0.002674,            0.002674
                  76,            0.013214,           0.0078353,            0.024413,             0.37486,             0.90822,             0.57702,             0.44973,           0.0051769,           0.0016475,            0.012817,            0.002575,            0.002575,            0.002575
                  77,            0.011031,           0.0067868,             0.02292,             0.38153,             0.93069,             0.51044,             0.49713,           0.0036907,           0.0014892,            0.012848,            0.002476,            0.002476,            0.002476
                  78,            0.011003,           0.0069561,            0.024819,             0.38284,                0.85,             0.60045,             0.54829,           0.0032473,            0.001713,             0.01181,            0.002377,            0.002377,            0.002377
                  79,            0.011518,           0.0061187,            0.022917,             0.42424,              0.7706,             0.64164,             0.52675,           0.0055613,           0.0018672,            0.011658,            0.002278,            0.002278,            0.002278
                  80,            0.011603,           0.0074491,            0.023499,              0.4429,                 0.7,             0.66915,              0.5847,           0.0023024,           0.0017784,            0.011703,            0.002179,            0.002179,            0.002179
